image_path,hueColorPrincipal,saturationColorPrincipal,brightnessColorPrincipal,num_colors,avg_hue_diff,avg_saturation,avg_pure_saturation,avg_lightness,avg_pure_lightness,Jerarquia
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_04.jpeg,31.071428571428555,96.55172413793105,88.62745098039215,5,105.23376623376622,48.19099275733654,,46.7156862745098,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_04.jpeg,31.071428571428555,96.55172413793105,88.62745098039215,4,103.15668202764978,54.437869822485204,,36.993464052287585,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_04.jpeg,31.071428571428555,96.55172413793105,88.62745098039215,6,70.72727272727265,34.509197491335954,,37.29411764705882,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_04.jpeg,31.071428571428555,96.55172413793105,88.62745098039215,3,114.10344827586209,43.11348781937019,,29.11764705882353,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_05.jpeg,0.0,0.0,94.90196078431372,6,194.3720930232558,16.414887794198137,,16.078431372549016,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_05.jpeg,0.0,0.0,94.90196078431372,5,200.9322033898305,29.884186694531486,,17.89215686274509,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_05.jpeg,0.0,0.0,94.90196078431372,6,168.58823529411765,14.488312223251986,,18.274509803921564,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_05.jpeg,0.0,0.0,94.90196078431372,5,221.0204081632653,25.76984126984126,,28.039215686274506,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_01.jpg,12.85714285714285,61.76470588235292,86.66666666666667,2,7.99999999999995,,55.4435483870968,22.15686274509804,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_01.jpg,12.85714285714285,61.76470588235292,86.66666666666667,2,7.076923076923098,,58.71478873239437,,78.92156862745098,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_01.jpg,12.85714285714285,61.76470588235292,86.66666666666667,2,5.428571428571416,,46.06854838709683,,93.8235294117647,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_01.jpg,12.85714285714285,61.76470588235292,86.66666666666667,3,5.8733031674208664,,53.97912129805159,,91.43790849673202,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_08.jpg,218.86363636363635,45.360824742268036,38.03921568627452,6,84.26666666666668,36.788190196558205,,30.0,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_08.jpg,218.86363636363635,45.360824742268036,38.03921568627452,6,62.40161943319837,31.540025214779433,,34.90196078431372,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_08.jpg,218.86363636363635,45.360824742268036,38.03921568627452,5,103.27666956699215,27.998297349482176,,27.30392156862745,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_08.jpg,218.86363636363635,45.360824742268036,38.03921568627452,6,116.24197044334976,14.295806072950663,,17.843137254901965,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_07.jpg,6.06382978723405,82.4561403508772,44.705882352941174,5,152.68706640737122,49.07393820820087,,15.637254901960787,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_07.jpg,6.06382978723405,82.4561403508772,44.705882352941174,5,71.49988344738259,24.540896518559403,,17.990196078431374,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_07.jpg,6.06382978723405,82.4561403508772,44.705882352941174,4,137.14510230392113,34.32505578712475,,24.836601307189543,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_07.jpg,6.06382978723405,82.4561403508772,44.705882352941174,5,71.8519030198721,17.91775624262936,,13.77450980392157,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_09.jpg,0.0,0.0,17.254901960784313,2,355.16129032258067,51.66666666666667,,35.686274509803916,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_09.jpg,0.0,0.0,17.254901960784313,3,346.9811320754717,71.62162162162163,,,20.784313725490197,Diagonal
